fichier1,fichier2,hash
./utils/dashboards/orchestration-dashboard.ts,./utils/dashboards/base-dashboard-service.ts,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./utils/dashboards/base-dashboard.ts,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/migration_pipeline.n8n.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/n8n-mysql-analyzer.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/n8n-audit-analyzer-workflow.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/n8n-update-audit-node.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/wave-runner.n8n.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/migration-workflow.n8n.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./config/mysql_type_converter.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/htaccess_map.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/migration_wave_plan.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/fiche.backlog.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/routing_map.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/refactor_tasks.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/migration_warnings.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./examples/migration_patch_example.json,d41d8cd98f00b204e9800998ecf8427e
./projet-codespaces/.devcontainer/devcontainer.json,./projet-codespaces/Dotdevcontainer/devcontainer.json,9b742ea97155c7eb071d52ed2b28b309
./migration-toolkit/templates/routes-legacy/fiche.$id/loader.ts,./migration-toolkit/templates/routes-legacy/FicheDot$Id/loader.ts,d1a2b6f9ec47449a9dbc7feba52384e4
./migration-toolkit/templates/routes-legacy/fiche.$id/meta.ts,./migration-toolkit/templates/routes-legacy/FicheDot$Id/meta.ts,8b5a36bcdda5993c5111601224699206
./shared/documentation/migration-results-2025-04-10T23-01-27-662Z.json,./shared/documentation/migration-results-2025-04-10T23-02-53-998Z.json,d751713988987e9331980363e24189ce
./shared/documentation/migration-results-2025-04-10T23-01-27-662Z.json,./shared/documentation/migration-results-2025-04-10T22-42-27-339Z.json,d751713988987e9331980363e24189ce
./orchestration/workflows/n8n.pipeline.clean.json,./workflows/migration/n8n.pipeline.json,a237247d126fd839e8e16530ada853ee
./utils/dashboards/orchestration-dashboard.ts,./workflows/wave-runner.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./workflows/migration_pipeline.json,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./workflows/migration-workflow.json,d41d8cd98f00b204e9800998ecf8427e
./Dotmcp/job.example.json,./.mcp/job.example.json,e676e8f9121dd1b0800637a67c498517
./utils/dashboards/orchestration-dashboard.ts,./legacy/migration-2025-04-18/agents/migration/nginx-config-analyzer.ts,d41d8cd98f00b204e9800998ecf8427e
./utils/dashboards/orchestration-dashboard.ts,./legacy/migration-2025-04-18/agents/migration/htaccess-router-analyzer.ts,d41d8cd98f00b204e9800998ecf8427e
./legacy/migration-2025-04-18/agents/migration/php-to-remix/remix-route-generator.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/remix-route-generator.ts,c20dce25ca0f2d55fb0cee24bea92682
./legacy/migration-2025-04-18/agents/migration/php-to-remix/dev-generator.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/dev-generator.ts,6cedaf3b531b15dd08ef1c08f5482c74
./legacy/migration-2025-04-18/agents/migration/php-to-remix/htaccess-route-analyzer.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/htaccess-route-analyzer.ts,e3962c40e7aa12d40896ef364150e7e3
./legacy/migration-2025-04-18/agents/migration/php-to-remix/php-router-audit.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/php-router-audit.ts,733d1464c1b2b938b0308c86823d3375
./legacy/migration-2025-04-18/agents/migration/php-to-remix/seo-meta.generator.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/seo-meta.generator.ts,e5da896b332147fc61b8429b8560ea4a
./legacy/migration-2025-04-18/agents/migration/php-to-remix/seo-checker-canonical.ts,./legacy/migration-2025-04-18/agents/migration/PhpToRemix/seo-checker-canonical.ts,e904fcb96b651836b79ce2734f1eb48e
./legacy/migration-2025-04-18/agents/migration/mysql-analyzer/utils/helpers.ts,./legacy/migration-2025-04-18/agents/migration/MysqlAnalyzer/utils/helpers.ts,041a0d0d76ff84c15445e779a058d027
./legacy/migration-2025-04-18/agents/migration/mysql-analyzer/core/schema-analyzer.ts,./legacy/migration-2025-04-18/agents/migration/MysqlAnalyzer/core/schema-analyzer.ts,427b35e083ccf0677d66408296f4f333
./legacy/migration-2025-04-18/agents/migration/mysql-analyzer/core/relation-analyzer.ts,./legacy/migration-2025-04-18/agents/migration/MysqlAnalyzer/core/relation-analyzer.ts,d11b85254647b900ae65cc705ed0e079
